Date,GOOGL
11/16/2017 16:00:00,52.42
11/17/2017 16:00:00,51.79
11/20/2017 16:00:00,51.73
11/21/2017 16:00:00,52.52
11/22/2017 16:00:00,52.6
11/24/2017 13:00:00,52.83
11/27/2017 16:00:00,53.6
11/28/2017 16:00:00,53.16
11/29/2017 16:00:00,51.87
11/30/2017 16:00:00,51.81
12/1/2017 16:00:00,51.25
12/4/2017 16:00:00,50.59
12/5/2017 16:00:00,50.98
12/6/2017 16:00:00,51.64
12/7/2017 16:00:00,52.23
12/8/2017 16:00:00,52.47
12/11/2017 16:00:00,52.6
12/12/2017 16:00:00,52.44
12/13/2017 16:00:00,52.57
12/14/2017 16:00:00,52.87
12/15/2017 16:00:00,53.6
12/18/2017 16:00:00,54.25
12/19/2017 16:00:00,53.99
12/20/2017 16:00:00,53.68
12/21/2017 16:00:00,53.54
12/22/2017 16:00:00,53.44
12/26/2017 16:00:00,53.29
12/27/2017 16:00:00,53.01
12/28/2017 16:00:00,52.8
12/29/2017 16:00:00,52.67
1/2/2018 16:00:00,53.66
1/3/2018 16:00:00,54.58
1/4/2018 16:00:00,54.79
1/5/2018 16:00:00,55.51
1/8/2018 16:00:00,55.71
1/9/2018 16:00:00,55.64
1/10/2018 16:00:00,55.51
1/11/2018 16:00:00,55.6
1/12/2018 16:00:00,56.53
1/16/2018 16:00:00,56.54
1/17/2018 16:00:00,56.96
1/18/2018 16:00:00,56.8
1/19/2018 16:00:00,57.18
1/22/2018 16:00:00,58.21
1/23/2018 16:00:00,58.81
1/24/2018 16:00:00,58.56
1/25/2018 16:00:00,59.11
1/26/2018 16:00:00,59.38
1/29/2018 16:00:00,59.32
1/30/2018 16:00:00,58.87
1/31/2018 16:00:00,59.11
2/1/2018 16:00:00,59.08
2/2/2018 16:00:00,55.96
2/5/2018 16:00:00,53.12
2/6/2018 16:00:00,54.22
2/7/2018 16:00:00,52.77
2/8/2018 16:00:00,50.39
2/9/2018 16:00:00,52.31
2/12/2018 16:00:00,52.73
2/13/2018 16:00:00,52.71
2/14/2018 16:00:00,53.64
2/15/2018 16:00:00,54.57
2/16/2018 16:00:00,54.78
2/20/2018 16:00:00,55.18
2/21/2018 16:00:00,55.69
2/22/2018 16:00:00,55.5
2/23/2018 16:00:00,56.4
2/26/2018 16:00:00,57.19
2/27/2018 16:00:00,55.88
2/28/2018 16:00:00,55.2
3/1/2018 16:00:00,53.57
3/2/2018 16:00:00,54.21
3/5/2018 16:00:00,54.74
3/6/2018 16:00:00,55.05
3/7/2018 16:00:00,55.75
3/8/2018 16:00:00,56.47
3/9/2018 16:00:00,58.04
3/12/2018 16:00:00,58.3
3/13/2018 16:00:00,57
3/14/2018 16:00:00,57.44
3/15/2018 16:00:00,57.53
3/16/2018 16:00:00,56.72
3/19/2018 16:00:00,55
3/20/2018 16:00:00,54.79
3/21/2018 16:00:00,54.7
3/22/2018 16:00:00,52.66
3/23/2018 16:00:00,51.33
3/26/2018 16:00:00,52.7
3/27/2018 16:00:00,50.35
3/28/2018 16:00:00,50.26
3/29/2018 16:00:00,51.86
4/2/2018 16:00:00,50.63
4/3/2018 16:00:00,50.93
4/4/2018 16:00:00,51.49
4/5/2018 16:00:00,51.63
4/6/2018 16:00:00,50.5
4/9/2018 16:00:00,51
4/10/2018 16:00:00,51.83
